,STT,Loại giao dich,Giá tiền,Vị trí,Tầng,View,Hướng cửa chính,Số phòng ngủ,Số WC,Nội thất,Tiện ích,Giấy tờ,Gần bệnh viện,Gần trường học
0,1,đã thuê,4000000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",53,Suối Tiên,Bắc,3,2,Ghế,Nhà hàng,Khác,Bệnh viện Nhi Đồng cách 1000m,Mầm non cách 300m
1,2,đã bán,2100000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",71,Cầu Sài Gòn,Nam,3,3,Ghế,Phòng gym,Sổ hồng,Bệnh viện Nhi Đồng cách 500m,Mầm non cách 300m
2,3,đang cho thuê,1000000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",37,Suối Tiên,Tây Nam,3,1,Rèm,Phòng yoga,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 300m,Mầm non cách 250m
3,4,đang bán,3650000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",71,Phạm VĂn Đồng,Đông,4,2,Ghế,Nhà hàng,Khác,Bệnh viện Nhi Đồng cách 200m,THCS cách 1200m
4,5,đã thuê,4900000000 ,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",25,Đầm Sen,Tây,2,2,Rèm,Phòng yoga,Sổ hồng,Bệnh viện Nhi Đồng cách 200m,Mầm non cách 300m
5,6,đã thuê,1950000000 ,"12 Tân Hưng, quận 1",72,Đầm Sen,Bắc,3,2,Tủ lạnh,Phòng gym,Sổ hồng,Bệnh viện chợ Rẫy cách 300m,THPT cách 200m
6,7,đã bán,5000000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",94,Cầu Sài Gòn,Tây Nam,4,3,Ghế,Hồ bơi,Sổ hồng,Bệnh viện chợ Rẫy cách 1000m,Mầm non cách 250m
7,8,đã bán,2500000000,"12 Tân Hưng, quận 1",49,Landmark 81,Tây Nam,3,3,TV,Nhà hàng,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 200m,Tiểu học 300 m
8,9,đang cho thuê,1950000000 ,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",84,Không có ban công,Bắc,1,3,Ghế,Cửu hàng giặt sấy,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 200m,Mầm non cách 300m
9,10,đang cho thuê,2550000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",36,Không có ban công,Đông,1,1,Bàn,Phòng gym,Sổ hồng,Bệnh viện chợ Rẫy cách 200m,THPT cách 1300m
10,11,đang bán,4700000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",31,Xa lộ Hà Nội,Tây,2,2,Không có,Hồ bơi,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 200m,THPT cách 200m
11,12,đã bán,3400000000,"12 Tân Hưng, quận 1",80,Chung cư Bcons,Đông,4,1,Máy giặt,Công viên,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 300m,Mầm non cách 300m
12,13,đã thuê,4900000000 ,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",23,Cầu Sài Gòn,Đông Nam,2,1,Bếp,Cửa hàng tiện lợi,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 1000m,Không có
13,14,đã bán,1400000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",51,Cầu Sài Gòn,Đông Nam,1,2,Không có,Phòng gym,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 1000m,Mầm non cách 250m
14,15,đang cho thuê,4600000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",98,Không có ban công,Tây,3,2,Tủ lạnh,Công viên,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 300m,Mầm non cách 1500m
15,16,đã thuê,4000000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",35,Suối Tiên,Đông,4,3,Bàn,Công viên,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,Mầm non cách 300m
16,17,đang cho thuê,2550000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",33,Xa lộ Hà Nội,Bắc,2,3,Tủ lạnh,Cửa hàng tiện lợi,Khác,Bệnh viện Đại học Y Dược TPHCM cách 200m,THCS cách 1300m
17,18,đã bán,3900000000 ,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",57,Suối Tiên,Tây Nam,3,3,Máy giặt,Phòng gym,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 1000m,THPT cách 1300m
18,19,đã bán,4950000000,"12 Tân Hưng, quận 1",95,Chung cư Bcons,Đông,4,3,Bàn,Phòng yoga,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Tiểu học 700 m
19,20,đã bán,3000000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",43,Xa lộ Hà Nội,Đông Bắc,3,2,Máy lạnh,Phòng yoga,Hợp dồng mua bán,Không có,Mầm non cách 200m
20,21,đã thuê,1900000000 ,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",9,Landmark 81,Nam,4,2,Bếp,Không có,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 1000m,Mầm non cách 300m
21,22,đang bán,1400000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",41,Sông Sài Gòn,Tây Nam,2,2,Không có,Phòng gym,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 400m,Tiểu học 700 m
22,23,đã bán,2750000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",66,Cầu Sài Gòn,Tây,1,3,TV,Công viên,Sổ hồng,Bệnh viện chợ Rẫy cách 200m,Không có
23,24,đang bán,2700000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",39,Sông Sài Gòn,Đông Bắc,4,1,Bàn,Cửu hàng giặt sấy,Khác,Bệnh viện Đại học Y Dược TPHCM cách 300m,THPT cách 1300m
24,25,đã thuê,2600000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",69,Landmark 81,Đông Nam,3,3,Máy lạnh,Phòng gym,Khác,Bệnh viện Nhi Đồng cách 200m,THPT cách 200m
25,26,đã thuê,4900000000 ,"12 Tân Hưng, quận 1",92,Khu dân cư ABC,Tây Bắc,1,2,Ghế,Nhà hàng,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 500m,THCS cách 1200m
26,27,đang cho thuê,3300000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",9,Không có ban công,Đông Bắc,4,2,Tủ lạnh,Hồ bơi,Sổ hồng,Bệnh viện chợ Rẫy cách 400m,THPT cách 300m
27,28,đã bán,4350000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",26,Chung cư Bcons,Tây Bắc,3,3,Máy lạnh,Không có,Khác,Bệnh viện chợ Rẫy cách 200m,Mầm non cách 200m
28,29,đã bán,3900000000 ,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",31,Khu dân cư ABC,Tây Bắc,2,3,TV,Hồ bơi,Khác,Bệnh viện Đại học Y Dược TPHCM cách 300m,Tiểu học 500 m
29,30,đang bán,4000000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",13,Sông Sài Gòn,Tây Bắc,1,2,Bàn,Cửa hàng tiện lợi,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 100m,Không có
30,31,đang bán,3900000000 ,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",81,Chung cư Bcons,Đông Bắc,2,3,Ghế,Không có,Khác,Bệnh viện Đại học Y Dược TPHCM cách 300m,Không có
31,32,đã thuê,3000000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",54,Đầm Sen,Tây,3,3,Bàn,Phòng gym,Khác,Bệnh viện chợ Rẫy cách 300m,Tiểu học 300 m
32,33,đang cho thuê,1600000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",24,Xa lộ Hà Nội,Nam,3,2,Rèm,Cửu hàng giặt sấy,Khác,Bệnh viện Nhi Đồng cách 400m,THPT cách 1300m
33,34,đã bán,3200000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",45,Sân Vận Động,Tây,1,2,Máy lạnh,Hồ bơi,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 400m,Mầm non cách 250m
34,35,đang cho thuê,1700000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",30,Sân Vận Động,Tây,2,2,Máy lạnh,Cửa hàng tiện lợi,Sổ hồng,Bệnh viện Nhi Đồng cách 200m,THCS cách 120m
35,36,đang cho thuê,4050000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",89,Landmark 81,Tây Nam,2,2,TV,Cửa hàng tiện lợi,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 400m,Mầm non cách 300m
36,37,đã bán,2100000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",21,Xa lộ Hà Nội,Đông Nam,2,2,Máy lạnh,Công viên,Khác,Bệnh viện chợ Rẫy cách 200m,THPT cách 1300m
37,38,đang bán,4600000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",63,Không có ban công,Đông Nam,4,2,Rèm,Không có,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,Mầm non cách 1500m
38,39,đang bán,3700000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",45,Suối Tiên,Tây,4,2,Rèm,Phòng yoga,Khác,Bệnh viện Đại học Y Dược TPHCM cách 300m,THCS cách 1200m
39,40,đang cho thuê,3600000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",75,Chung cư Bcons,Bắc,4,2,Ghế,Công viên,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 1000m,Mầm non cách 250m
40,41,đang cho thuê,4300000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",38,Không có ban công,Đông Nam,3,3,Rèm,Phòng yoga,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 100m,THCS cách 120m
41,42,đang cho thuê,1350000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",98,Xa lộ Hà Nội,Đông Bắc,4,3,Bàn,Không có,Khác,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Mầm non cách 250m
42,43,đã bán,1450000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",99,Chung cư Bcons,Tây Nam,2,1,Ghế,Hồ bơi,Khác,Bệnh viện Nhi Đồng cách 1000m,Tiểu học 200 m
43,44,đang cho thuê,4500000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",24,Sân Vận Động,Nam,2,2,Bàn,Nhà hàng,Khác,Bệnh viện Nhi Đồng cách 1000m,THCS cách 1200m
44,45,đang bán,4400000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",58,Khu dân cư ABC,Nam,1,1,TV,Cửu hàng giặt sấy,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 100m,Mầm non cách 300m
45,46,đang cho thuê,4100000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",6,Landmark 81,Nam,2,2,Rèm,Không có,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 300m,THPT cách 300m
46,47,đang cho thuê,3200000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",73,Cầu Sài Gòn,Đông Nam,2,1,Rèm,Nhà hàng,Khác,Bệnh viện chợ Rẫy cách 1000m,THPT cách 1300m
47,48,đã thuê,3500000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",91,Suối Tiên,Bắc,1,2,Bàn,Phòng gym,Sổ hồng,Bệnh viện Nhi Đồng cách 400m,Tiểu học 200 m
48,49,đang cho thuê,2350000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",28,Xa lộ Hà Nội,Tây Bắc,3,1,Bếp,Cửu hàng giặt sấy,Khác,Bệnh viện Nhi Đồng cách 200m,THPT cách 1300m
49,50,đã bán,2600000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",74,Sân Vận Động,Đông,4,2,Bếp,Cửa hàng tiện lợi,Sổ hồng,Bệnh viện chợ Rẫy cách 1000m,Mầm non cách 300m
50,51,đã thuê,3700000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",31,Cầu Sài Gòn,Bắc,2,1,Máy giặt,Hồ bơi,Sổ hồng,Bệnh viện chợ Rẫy cách 400m,Tiểu học 200 m
51,52,đang cho thuê,1700000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",91,Đầm Sen,Bắc,1,3,Tủ lạnh,Cửa hàng tiện lợi,Sổ hồng,Bệnh viện chợ Rẫy cách 1000m,Tiểu học 500 m
52,53,đã thuê,1000000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",88,Sân Vận Động,Bắc,4,3,Máy giặt,Không có,Sổ hồng,Bệnh viện Nhi Đồng cách 200m,Tiểu học 700 m
53,54,đã thuê,1800000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",33,Cầu Sài Gòn,Nam,4,1,Tủ lạnh,Phòng gym,Khác,Bệnh viện Đại học Y Dược TPHCM cách 100m,THPT cách 300m
54,55,đã bán,3550000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",22,Đầm Sen,Đông Nam,1,3,Bếp,Phòng gym,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 400m,Mầm non cách 200m
55,56,đã thuê,4500000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",38,Cầu Sài Gòn,Bắc,3,2,Rèm,Nhà hàng,Khác,Bệnh viện chợ Rẫy cách 500m,THCS cách 1300m
56,57,đang cho thuê,1900000000 ,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",33,Đầm Sen,Đông Bắc,2,3,Bàn,Cửu hàng giặt sấy,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 300m,THCS cách 120m
57,58,đang cho thuê,5000000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",34,Khu dân cư ABC,Tây Bắc,2,3,Máy lạnh,Hồ bơi,Khác,Không có,Không có
58,59,đang bán,3400000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",26,Quốc lộ 51,Đông,3,3,TV,Nhà hàng,Khác,Bệnh viện Nhi Đồng cách 200m,THPT cách 200m
59,60,đã bán,2600000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",99,Phạm VĂn Đồng,Đông Nam,2,2,TV,Nhà hàng,Khác,Bệnh viện Đại học Y Dược TPHCM cách 400m,THCS cách 1300m
60,61,đang bán,1700000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",83,Suối Tiên,Đông Nam,4,1,Rèm,Không có,Sổ hồng,Bệnh viện Nhi Đồng cách 500m,THCS cách 1300m
61,62,đang bán,3550000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",92,Sông Sài Gòn,Đông,3,3,Bếp,Không có,Khác,Bệnh viện Đại học Y Dược TPHCM cách 300m,THCS cách 120m
62,63,đang cho thuê,4950000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",75,Sân Vận Động,Tây Nam,3,2,Máy lạnh,Không có,Khác,Bệnh viện Nhi Đồng cách 400m,Tiểu học 500 m
63,64,đã thuê,1800000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",54,Phạm VĂn Đồng,Bắc,4,1,Rèm,Hồ bơi,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 300m,THCS cách 1300m
64,65,đã bán,5000000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",30,Sông Sài Gòn,Tây Bắc,3,3,Bếp,Công viên,Khác,Bệnh viện Đại học Y Dược TPHCM cách 400m,THPT cách 1300m
65,66,đã bán,2550000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",49,Phạm VĂn Đồng,Tây Bắc,3,1,Rèm,Hồ bơi,Sổ hồng,Bệnh viện chợ Rẫy cách 300m,THCS cách 120m
66,67,đã bán,4200000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",17,Không có ban công,Tây Nam,1,1,Không có,Công viên,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,Mầm non cách 1500m
67,68,đã bán,3000000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",11,Sông Sài Gòn,Đông Bắc,3,1,Bàn,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,THPT cách 1300m
68,69,đang bán,2900000000 ,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",51,Chung cư Bcons,Bắc,3,1,Tủ lạnh,Không có,Khác,Bệnh viện Đại học Y Dược TPHCM cách 300m,THCS cách 1300m
69,70,đang bán,4900000000 ,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",67,Sông Sài Gòn,Đông,3,1,Ghế,Nhà hàng,Sổ hồng,Bệnh viện Nhi Đồng cách 500m,THPT cách 1300m
70,71,đang cho thuê,1350000000,"12 Tân Hưng, quận 1",66,Cầu Sài Gòn,Tây Nam,3,3,Bàn,Không có,Khác,Bệnh viện Đại học Y Dược TPHCM cách 200m,THPT cách 200m
71,72,đang cho thuê,3900000000 ,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",69,Suối Tiên,Đông Nam,4,2,Máy giặt,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện chợ Rẫy cách 500m,Mầm non cách 200m
72,73,đã thuê,1500000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",47,Quốc lộ 51,Đông Nam,2,3,Không có,Nhà hàng,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 200m,THPT cách 1300m
73,74,đã bán,3100000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",27,Sân Vận Động,Bắc,2,2,TV,Nhà hàng,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 500m,Mầm non cách 250m
74,75,đã thuê,3500000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",74,Sông Sài Gòn,Đông,1,3,Máy giặt,Công viên,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 100m,Mầm non cách 300m
75,76,đang cho thuê,4450000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",90,Xa lộ Hà Nội,Tây Nam,2,3,Máy lạnh,Công viên,Sổ hồng,Không có,Mầm non cách 300m
76,77,đã thuê,4900000000 ,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",65,Landmark 81,Đông Nam,4,1,Không có,Nhà hàng,Sổ hồng,Bệnh viện Nhi Đồng cách 400m,THCS cách 1300m
77,78,đang bán,2000000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",57,Sân Vận Động,Tây,1,1,Bếp,Phòng yoga,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 200m,Mầm non cách 1500m
78,79,đang cho thuê,4450000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",62,Khu dân cư ABC,Tây,2,3,Rèm,Phòng yoga,Sổ hồng,Bệnh viện Nhi Đồng cách 1000m,THPT cách 1300m
79,80,đã bán,4000000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",98,Sân Vận Động,Bắc,1,1,Máy lạnh,Phòng yoga,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Không có
80,81,đang cho thuê,3650000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",97,Cầu Sài Gòn,Tây,4,3,Máy giặt,Công viên,Khác,Bệnh viện chợ Rẫy cách 1000m,THCS cách 120m
81,82,đã thuê,1400000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",43,Phạm VĂn Đồng,Tây,4,1,Máy giặt,Phòng gym,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 200m,THCS cách 1300m
82,83,đã bán,3500000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",16,Phạm VĂn Đồng,Tây,2,1,TV,Hồ bơi,Khác,Không có,Tiểu học 500 m
83,84,đã thuê,2100000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",81,Quốc lộ 51,Bắc,4,2,TV,Phòng yoga,Sổ hồng,Bệnh viện Nhi Đồng cách 500m,THPT cách 300m
84,85,đã thuê,4300000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",44,Landmark 81,Nam,3,1,Rèm,Không có,Khác,Bệnh viện Nhi Đồng cách 100m,THCS cách 1300m
85,86,đã thuê,4750000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",5,Xa lộ Hà Nội,Tây,1,3,Máy lạnh,Công viên,Sổ hồng,Bệnh viện Nhi Đồng cách 400m,Không có
86,87,đang cho thuê,4350000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",71,Quốc lộ 51,Tây,3,3,Bếp,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện chợ Rẫy cách 200m,Không có
87,88,đã bán,2500000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",45,Khu dân cư ABC,Tây Nam,2,2,Máy giặt,Phòng gym,Khác,Bệnh viện Nhi Đồng cách 1000m,Tiểu học cách 150m
88,89,đã thuê,1300000000,"12 Tân Hưng, quận 1",22,Suối Tiên,Bắc,1,2,Bếp,Phòng gym,Sổ hồng,Bệnh viện chợ Rẫy cách 200m,THPT cách 300m
89,90,đang bán,2800000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",13,Landmark 81,Nam,1,1,TV,Nhà hàng,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 400m,Tiểu học 700 m
90,91,đã thuê,3900000000 ,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",87,Đầm Sen,Đông,2,1,Ghế,Cửa hàng tiện lợi,Sổ hồng,Bệnh viện chợ Rẫy cách 400m,Mầm non cách 250m
91,92,đang bán,3900000000 ,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",15,Suối Tiên,Đông Bắc,3,1,TV,Hồ bơi,Sổ hồng,Bệnh viện Nhi Đồng cách 400m,Mầm non cách 200m
92,93,đã bán,2550000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",57,Đầm Sen,Đông Nam,4,3,Ghế,Hồ bơi,Khác,Bệnh viện chợ Rẫy cách 1000m,THCS cách 1200m
93,94,đã thuê,1800000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",65,Xa lộ Hà Nội,Đông Bắc,1,2,Bàn,Phòng yoga,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 1000m,Mầm non cách 300m
94,95,đang cho thuê,1200000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",69,Phạm VĂn Đồng,Bắc,2,3,Máy lạnh,Hồ bơi,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 100m,Không có
95,96,đang cho thuê,3700000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",27,Khu dân cư ABC,Tây,4,1,Máy giặt,Phòng gym,Khác,Bệnh viện chợ Rẫy cách 200m,Tiểu học 500 m
96,97,đã bán,4350000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",81,Landmark 81,Nam,3,2,Máy lạnh,Công viên,Sổ hồng,Bệnh viện chợ Rẫy cách 200m,THPT cách 300m
97,98,đang bán,4200000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",82,Phạm VĂn Đồng,Đông Nam,2,2,Bàn,Phòng yoga,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 300m,THPT cách 1300m
98,99,đã thuê,2700000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",8,Chung cư Bcons,Đông Nam,2,3,Bếp,Công viên,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 400m,THCS cách 1200m
99,100,đang cho thuê,1300000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",47,Chung cư Bcons,Đông Nam,4,1,Không có,Công viên,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 200m,Tiểu học 300 m
